서명 추가|Add signature
압축 해제에 실패했습니다(100).\n남은 용량을 확인해주세요.|Decompression failed (100).\nPlease check the remaining storage.
사용자 이미지 선택|Select custom image
효력 없음|Not in effect
색 온도 조절|Color Temperature
내 서재에서 숨기기|Hide from My Library
색 온도를 조절하면 독서 후 편안하게\n잠들 수 있게 도와줍니다.|Adjusting the color temperature helps you fall asleep\ncomfortably after reading.
구매 목록이 잠겨있습니다.|Purchase list is locked.
주석 무시|Ignore annotations
가나다순|Alphabetical
파일이 손상되었습니다(105).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|The file is corrupted (105).\nPlease delete it and re-download from [Purchase List].
고급|Advanced
이메일 주소|Email Address
탭하여 요일 선택으로 전환|Tap to switch to day selection
암호|Password
이전|Previous
책장 보기|Bookshelf View
승인됨|Approved
암호 확인|Confirm Password
새 알림|New notification
아직 리디 회원이 아니세요? 간편가입하기|Not a Ridi member yet? Easy Sign Up
페이지순|By Page
크기|Size
넘김 버튼 전환|Switch Turn Buttons
%1$s에서 Google Play 서비스를 사용하는 데 문제가 있습니다. 다시 시도하세요.|%1$s is having trouble with Google Play services. Please try again.
주석|Annotation
스탬프|Stamp
주석 페이지|Annotation Page
최근 다운로드순|Most Recently Downloaded
로그인해주세요.|Please log in.
말하기|Speak
열기|Open
이벤트 혜택 알림을 수신하는데 동의 처리 되었습니다.|You have agreed to receive event benefit notifications.
아이디|ID
저자 이름|Author Name
환영합니다!|Welcome!
사용자 글꼴 설정|User Font Settings
동시 이용은 최대 %d대까지 가능합니다.\n대체할 기기를 선택해주세요.|Simultaneous use is possible on up to %d devices.\nPlease select a device to replace.
이미지|Image
TTS 듣기 설정|TTS Listening Settings
기본|Default
사용자 지정값|Custom Value
첫 페이지부터 두쪽보기|Two-page view from the first page
선택한 날짜|Selected date
직접 슬립화면을 등록하여 사용할 수 있습니다.|You can register and use your own sleep screen.
7mm 줄친종이|7mm Lined Paper
최대 50자까지 쓸 수 있습니다.|You can write up to 50 characters.
작품이 존재하지 않습니다.|The work does not exist.
년|Year
다음으로|Next
터치 잠금 모드입니다.|Touch lock mode is on.
TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다. PC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을 선택해주세요.|You can set TTF, OTF files as body fonts. Connect to a PC, copy the files to the Fonts folder, and select the font to use.
%1$s시 정각|%1$s o'clock
문단 간격|Paragraph Spacing
새로운 잠금 비밀번호가 설정되었습니다.|A new lock password has been set.
필터 및 정렬|Filter & Sort
최근 생성순|Most Recently Created
다음 권 자동으로 보기|Automatically view next volume
타이머 종료|Timer End
새 알림 %1$d개 초과|More than %1$d new notifications
수정본|Revised
요일 열: %1$s|Day column: %1$s
텍스트 스탬프|Text Stamp
현재 슬립 화면|Current Sleep Screen
%1$s 삭제|Delete %1$s
개인 정보 수집 및 이용|Collection and Use of Personal Information
%s과(와) 공유|Share with %s
개요 없음|No Outline
밝기 조절|Brightness
수락됨|Accepted
전체|All
글자 수 제한이 초과되었습니다(%1$d/%2$d).|Character limit exceeded (%1$d/%2$d).
파일 종류는 JPG, PNG, GIF, BMP만 가능하며, 크기는 1264*1680px입니다.<br/>PC와 연결 후 <b>Sleepingscreen</b> 폴더에 원하는 슬립 화면 파일을 복사하세요.|File types can only be JPG, PNG, GIF, BMP, and the size is 1264*1680px.<br/>Connect to a PC and copy the desired sleep screen file to the <b>Sleepingscreen</b> folder.
값을 입력하거나 목록에서 선택하십시오|Enter a value or select from the list
잠금 비밀번호 변경|Change Lock Password
다음|Next
거부됨|Rejected
코멘트 용도|For comments
검색어 삭제|Delete search term
다음 문장 듣기|Listen to next sentence
서점으로 이동|Go to Store
본문 상단|Top of body
일반 공개 불가|Not for public release
주석 없이 문서만 출력|Print document without annotations
대여 만료 임박순|Nearing Rental Expiration
책장목록|Bookshelf List
독서 상태 변경|Change Reading Status
PDF 문서에 주석이 첨부되지 않습니다.|Annotations are not attached to PDF documents.
메모를 입력해주세요.|Please enter a memo.
검색|Search
볼륨키를 누르셨군요!\n볼륨키로 작품을 읽어보시겠어요?|You pressed the volume key!\nWould you like to read the work with the volume key?
PDF 문서에 주석을 각인하며, 읽기전용으로 전환합니다.|Embeds annotations in the PDF document and converts it to read-only.
주석 첨부|Attach Annotation
사용자 가이드|User Guide
DRM 문제로 작품을 볼 수 없습니다(104).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요.|Cannot view the work due to a DRM issue (104).\nPlease contact us via 'Settings > Customer Support & Feedback'.
파일이 손상되었습니다(101).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|The file is corrupted (101).\nPlease delete it and re-download from [Purchase List].
일상생활에서 휴대전화와 같은 휴대용 송신 무선설비를 이용할 때 우리\n눈에는 보이지 않지만 전자파가 발생합니다. 전자파는 고주파로서 인체에\n체온 상승을 발생시킬 수 있으며 이러한 열적 작용을 정량적으로 표현한\n것이 전자파 (인체) 흡수율(SAR : Specific Absorption Rate)입니다.|In daily life, when using portable transmitting wireless equipment like mobile phones,\nelectromagnetic waves are generated, although they are invisible to our eyes. These waves are high-frequency and can cause a rise in body temperature.\nThe quantitative expression of this thermal effect is the Specific Absorption Rate (SAR).
여기 이니셜|Initials here
페이지 회전|Rotate Page
리디캐시를 충전해 주세요. PC나 모바일로\n부족한 캐시를 충전할 수 있습니다.|Please charge your RidiCash. You can charge\nthe insufficient cash via PC or mobile.
파일이 손상되었습니다(100).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|the file is corrupted (100).\nPlease delete it and re-download from [Purchase List].
반대 방향(←)으로 보는 책\n페이지 넘김 버튼 설정|Books read in the opposite direction (←)\nPage turn button settings
실행취소|Undo
실행복귀|Redo
검색어 보내기|Submit search query
문단 너비|Paragraph Width
즐겨찾기됨|Favorited
규제 및 안전 정보|Regulatory and Safety Information
동기화가 완료되면 자동으로 닫힙니다. 모든 동기화가 완료될\n때까지 전원을 끄지 마세요. 동기화는 1분 이상 소요될 수 있습니다.|It will close automatically when syncing is complete. Do not turn off the power\nuntil all syncing is complete. Syncing may take more than 1 minute.
캘린더 입력 모드로 전환|Switch to calendar input mode
기본값|Default value
여기 서명하십시오|Sign here
다음 달로 변경|Change to next month
paper.ridibooks.com/guide에서\n쉽게 확인할 수 있습니다.|You can easily check at\npaper.ridibooks.com/guide.
5mm 모눈종이|5mm Graph Paper
샘플|Sample
최근 구매순|Most Recently Purchased
기기를 돌리면 화면이 상하 반전되어 왼손으로\n페이지 넘김 버튼을 사용할 수 있습니다.|If you rotate the device, the screen will be inverted, allowing you to use\nthe page turn buttons with your left hand.
이 파일을 여는 도중 예기치 못한 오류가 발생했습니다.|An unexpected error occurred while opening this file.
비밀번호를 입력하세요.|Enter your password.
두 손가락으로\n화면을 위아래로 쓸어서 쉽게\n조절할 수 있습니다.|With two fingers,\nswipe up and down on the screen\nto adjust easily.
이 기기에서 볼 수 없는 작품입니다.\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|This work cannot be viewed on this device.\nPlease delete it and re-download from [Purchase List].
볼륨키로 설정|Set with volume key
제거|Remove
형광펜 보기|View Highlighters
%1$s년으로 이동|Go to year %1$s
카메라|Camera
'%1$s'이(가) 클립보드에 복사되었습니다.|'%1$s' has been copied to the clipboard.
다운로드 중|Downloading
이메일 인증을 진행해주세요.|Please proceed with email verification.
읽지 않음|Unread
회원가입|Sign Up
출생년도 (선택 입력)|Year of Birth (Optional)
DRM 문제로 작품을 볼 수 없습니다(110).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요.|Cannot view the work due to a DRM issue (110).\nPlease contact us via 'Settings > Customer Support & Feedback'.
PDF 문서를 열 수 있는 응용 프로그램이 설치되어 있지 않습니다.|No application is installed that can open PDF documents.
US 공문서|US Official Document
불러오는 중…|Loading…
PDF 문서에 주석을 첨부하며, 차후 다시 편집할 수 있습니다.|Attaches annotations to the PDF document, which can be edited later.
더 나은 리디페이퍼\n활용을 위한 사용자 가이드|User Guide for Better\nRidiPAPER Utilization
앱 선택|Select app
네트워크 연결 상태를 확인 후 다시 시도해주세요.|Please check your network connection and try again.
분 선택|Select minute
없음|None
지원이 종료된 DRM입니다.\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|This DRM is no longer supported.\nPlease delete it and re-download from [Purchase List].
시간 입력을 위해 시계 모드로 전환합니다.|Switching to clock mode to enter time.
텍스트 음성변환 서비스를 사용할 수 없습니다. 인터넷에 연결되어 있는지 확인하시거나 Google의 텍스트-투-스피치 엔진이 기기에 설치되어 있는지, 활성화되어 있는지 확인하시기 바랍니다.|Text-to-speech service is not available. Please check if you are connected to the internet, or if Google's Text-to-Speech engine is installed and enabled on your device.
설정한 시간이 끝나면 듣기 기능이 자동으로 정지\n됩니다.|When the set time is over, the listening function will automatically stop.
보이스 설정|Voice Settings
아이디를 입력해주세요.|Please enter your ID.
페이지 추가|Add Page
텍스트가 클립보드에 복사되었습니다.|Text copied to clipboard.
드롭다운 메뉴 표시|Show dropdown menu
등록|Register
선 시작|Line Start
취소|Cancel
화면 터치 잠금이 설정되고 페이지 넘김 버튼으로만 페이지를 넘길 수 있습니다.|Screen touch lock is enabled, and pages can only be turned with the page turn buttons.
개요 검색|Search Outline
홈으로 이동|Go to Home
볼륨키로 페이지를 넘겨보세요.|Try turning pages with the volume key.
백과사전|Encyclopedia
변론을 시작하겠습니다|I will begin my argument
일|Day
사용 중지|Disable
페이지|Page
다운로드|Download
읽기 속도|Reading Speed
다운로드가 완료되면 자동으로 다시 시작 후 업데이트를 진행합니다.\n모든 업데이트가 완료될 때까지 전원을 끄지마세요.\n업데이트는 3분 이상 소요될 수 있습니다.|When the download is complete, it will automatically restart and proceed with the update.\nDo not turn off the power until all updates are complete.\nThe update may take more than 3 minutes.
개인정보보호법 제 39조 3(개인정보 수집·이용에 대한 특례) 만 14세 미만 어린이는\n법정대리인의 동의와 법정대리인(보호자)의 본인인증 후 회원가입이 가능합니다.|According to Article 39-3 of the Personal Information Protection Act (Special Provisions for Collection and Use of Personal Information), children under 14 years of age can sign up for membership after obtaining the consent of their legal guardian and verifying the identity of the legal guardian (protector).
승인|Approve
본문검색|Search Body
5mm 줄친종이|5mm Lined Paper
승인되지 않음|Not Approved
음성 검색|Voice Search
오류|Error
형식이 잘못되었습니다.|Invalid format.
최근 추가순|Most Recently Added
월|Month
RIDIPAPER 4 사용 팁|RIDIPAPER 4 Usage Tips
페이지 레이아웃|Page Layout
텍스트 설정|Text Settings
영어사전|English Dictionary
자주 문의하시는 내용이나 제품 사용 중 불편 사항이 있을 경우\n고객센터 홈페이지 FAQ또는 1:1문의를 이용해주시기 바랍니다.|If you have frequently asked questions or inconveniences while using the product,\nplease use the Customer Center homepage FAQ or 1:1 inquiry.
페이지 삭제|Delete Page
나의 서명|My Signature
최신 버전:|Latest version:
책장 동기화 진행 중입니다.|Bookshelf sync in progress.
저장|Save
최근 본 작품 표지|Recently biewed book cover
스탬프 생성|Create Stamp
페이지를 넘겨도 확대된 본문의 위치가 고정됩니다.|The position of the zoomed-in body remains fixed even when turning pages.
하이라이트|Highlight
최근 본 작품|Recently Viewed
잠금 비밀번호 입력|Enter Lock Password
페이지 복제|Duplicate Page
국어사전|Korean Dictionary
색상|Color
RP-400 모델의 SAR(전자파 흡수율)은 과학기술정보통신부에서 규정한\n'전자파 인체 보호 기준'에 부합합니다. 본 제품은 국립전파연구원의\n'전자파 흡수율 측정 기준'에 따라 몸통 부근에서 테스트를 거쳤습니다. |The SAR (Specific Absorption Rate) of the RP-400 model complies with the\n'Electromagnetic Wave Human Body Protection Standard' prescribed by the Ministry of Science and ICT. This product has been tested near the torso according to the\n'SAR Measurement Standard' of the National Radio Research Agency.
옵션 더보기|More options
전체 취소|Cancel All
최근 본 작품 목록에서 제거|Remove from Recently Viewed List
검색어|Search term
추가 옵션|Additional options
책 읽기 중 한 손가락으로\n화면을 위아래로 쓸어서\n쉽게 조절할 수 있습니다.|While reading a book, with one finger,\nswipe up and down on the screen\nto adjust easily.
 동의 (선택)| Agree (Optional)
선택한 경로에 이름이 %1$s인 파일이 존재합니다. 파일을 대치하시겠습니까?|A file named %1$s already exists in the selected path. Do you want to replace it?
기간이 만료된 작품입니다.|This work has expired.
본문 하단|Bottom of body
이 문서는 편집을 지원하지 않습니다.|This document does not support editing.
숙면을 방해하는 차가운 백색 빛|Cold white light that disturbs deep sleep
남겨진 독서노트가 없습니다.|There are no reading notes left.
이미 %d대의 기기로 리디북스를 이용 중입니다.\n대체할 기기를 선택해주세요.|You are already using RidiBooks on %d devices.\nPlease select a device to replace.
최근 본 작품이 없습니다.|There are no recently viewed works.
범위|Range
참고 용도|For reference
줄 간격|Line Spacing
저자|Author
책장 이동|Move Bookshelf
"R-C-RBP-RP400\n제품명 : RIDIPAPER 4 모델명 : RP-400\n상호명 : 리디 주식회사 제조자 : (주)하젠 제조국 : 중국\n제조시기 : 별도 표기\n기자재명칭 : 특정소출력 무선기기 (무선랜을 포함한 무선접속시스템용\n무선기기(5150~5350MHz, 5470~5850MHz 주파수 대역))\n리디(주) 고객센터 : help.ridibooks.com | help.ridibooks.com"|"R-C-RBP-RP400\nProduct Name: RIDIPAPER 4 Model Name: RP-400\nCompany Name: Ridi Corporation Manufacturer: Hazen Co., Ltd. Country of Manufacture: China\nDate of Manufacture: Separately marked\nEquipment Name: Low-power wireless device (for wireless access systems including wireless LAN\nwireless device (5150~5350MHz, 5470~5850MHz frequency band))\nRidi Co., Ltd. Customer Center: help.ridibooks.com | help.ridibooks.com"
이전 문장 듣기|Listen to previous sentence
기본 이미지 중에서 선택|Select from default images
등록된 댓글이 없습니다.|There are no registered comments.
테마|Theme
닫기|Close
비밀 정보|Confidential
자동 선택|Auto-select
건전한 댓글 정착 및 양질의 댓글을 위해 아래\n해당하는 댓글은 비공개 조치될 수 있음을 안내드립니다.|For the establishment of healthy comments and high-quality comments, please be advised that comments\nthat fall under the following categories may be made private.
새로고침|Refresh
기타|Other
이곳에 서명|Sign here
EPUB, PDF, TXT, ZIP, CBZ 파일을 추가하여\n볼 수 있습니다. PC와 연결 후 Documents\n폴더에 파일을 복사 후 가져올 파일을 선택하여\n추가 버튼을 누르세요.|You can add and view EPUB, PDF, TXT, ZIP, CBZ files.\nConnect to a PC, copy the files to the Documents\nfolder, select the files to import, and press the\nAdd button.
문서 이름|Document Name
시작일~종료일|Start Date~End Date
전체 보기|View All
%1$s분|%1$s min
날짜 선택|Select date
퀵버튼 설정|Quick Button Settings
가로모드에서 두쪽보기|Two-page view in landscape mode
내보내는 중…|Exporting…
인증번호 6자리 숫자 (3시간 이내)|6-digit verification code (within 3 hours)
새로 삽입한 주석에 대한 저자 이름을 입력해 주십시오.|Please enter the author name for the newly inserted annotation.
폴리라인|Polyline
일회용 서명|One-time signature
왼쪽으로 진행|Proceed to the left
주석 없음|No Annotations
초안|Draft
나가기|Exit
읽음|Read
인증번호 재발송|Resend verification code
비밀번호 표시|Show password
등록된 글꼴이 없습니다.|There are no registered fonts.
아래 QR 코드를 통해서 확인해보세요!|Check it out through the QR code below!
이전 페이지 / 위로 스크롤|Previous Page / Scroll Up
기기대체|Device Replacement
5mm 점종이|5mm Dotted Paper
블루투스|Bluetooth
가로|Horizontal
제목 가나다순|By Title (Alphabetical)
지우기|Erase
수정|Modify
* 이미지가 화면 크기와 다를 경우 자동으로 확대/축소됩니다.|* If the image is different from the screen size, it will be automatically enlarged/reduced.
편의|Help
다운로드 전|Before Download
복사|Copy
팝업으로 주석 보기|View annotation in popup
페이지 내보내기|Export Page
진하기 설정|Boldness Setting
현재 %1$s 선택됨|Currently %1$s selected
이전 달로 변경|Change to previous month
페이지 넘김 버튼 설정|Page Turn Button Settings
목차순|By Table of Contents
텍스트|Text
검색...|Search...
페이지 방향|Page Orientation
신고|Report
TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다.\nPC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을\n선택해주세요.|You can set TTF, OTF files as body fonts.\nConnect to a PC, copy the files to the Fonts folder, and select\nthe font to use.
날짜|Date
사운드|Sound
오른쪽으로 진행|Proceed to the right
저장 중…|Saving…
즐겨찾기 없음|No Favorites
문서를 저장할 수 없습니다.|Cannot save the document.
이름|Name
상/하 터치로 페이지 이동|Turn pages by touching top/bottom
구불한 선|Squiggly line
고객센터 안내|Customer Center Information
탭하여 연도 선택으로 전환|Tap to switch to year selection
두 번 탭하여 화면 확대|Double-tap to zoom
오전|AM
현재 버전:|Current version:
두께|Thickness
격자|Grid
채우기 색상|Fill Color
 동의 (필수)| Agree (Required)
시작 및 끝 색상|Start and end colors
괄호 ()안 문장 읽기|Read sentence in parentheses ()
인증번호 발송하기|Send verification code
내 책장|My Bookshelf
US 편지지|US Letter
댓글을 등록해주세요.|Please register a comment.
이벤트 혜택 알림 수신 동의 (선택)|Agree to receive event benefit notifications (Optional)
두 페이지|Two Pages
저자 가나다순|By Author (Alphabetical)
잠들기 전 책을 읽다 보면 프론트라이트의 차가운 백색 빛이\n생체리듬에 영향을 주어 숙면을 방해할 수 있습니다.\n차가운 백색 빛에는 숙면을 방해하는 다량의 블루라이트가\n포함되어 있기 때문입니다.|When reading a book before bed, the cold white light of the frontlight\ncan affect your biorhythm and disturb your deep sleep.\nThis is because cold white light contains a large amount of blue light\nthat interferes with deep sleep.
이 작품은 리디북스 애플리케이션 최신 버전에서 볼 수 있습니다. 최신 버전으로 업데이트하시겠습니까?|This work can be viewed in the latest version of the RidiBooks application. Would you like to update to the latest version?
세로|Vertical
증명|Proof
타원|Oval
즐겨찾기 추가|Add to Favorites
최신 버전으로 업데이트|Update to the latest version
페이지 설정|Page Settings
듣기 타이머|Listening Timer
수면에 도움을 주는 황백색 빛|Yellowish-white light that helps with sleep
잉크|Ink
현재 페이지 (%1$d)|Current Page (%1$d)
자동|Auto
1권부터|From volume 1
앞으로 묻지 않기|Don't ask again
오후|PM
차가운 백색 빛과 다르게 따뜻한 황백색 빛은\n수면에 나쁜 영향을 적게 일으킵니다. 색 온도 조절 기능으로\n프론트라이트의 색상을 따뜻한 황백색 빛으로 조절하면,\n독서 후 취침 시 숙면에 도움이 될 수 있습니다.|Unlike cold white light, warm yellowish-white light has\nless of a negative effect on sleep. By adjusting the color of the\nfrontlight to a warm yellowish-white light with the color temperature control function,\nit can help you get a good night's sleep after reading.
선|Line
기간 선택|Select Period
RIDIPAPER를 구입해주셔서 감사합니다.\n간단한 몇 단계만 거치면 바로 사용할 수 있습니다.|Thank you for purchasing RIDIPAPER.\nYou can use it right away after a few simple steps.
일치하는 결과 없음|No matching results
업데이트로 책장이 초기화되었습니다.\n\n업데이트 이전 책장 정보는 |The bookshelf has been reset due to an update.\n\nThe bookshelf information before the update is 
예비 결과|Preliminary result
페이지 전환효과|Page Turn Effect
공유 대상:|Share with:
동시 이용은 최대 %d대 까지 가능합니다.|Simultaneous use is possible on up to %d devices.
검색 결과가 없습니다.|No search results.
개요|Outline
출력|Print
분|Minute
잔상 최소화 설정|Ghosting Minimization Setting
시작일~%1$s|Start Date~%1$s
잠금 설정 초기화|Reset Lock Settings
책장에 추가할 작품 선택|Select works to add to the bookshelf
모두 건너뛰기|Skip All
전원/보안|Power/Security
유의사항|Notes
DRM 문제로 작품을 볼 수 없습니다(108).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요.|Cannot view the work due to a DRM issue (108).\nPlease contact us via 'Settings > Customer Support & Feedback'.
기기 또는 구매 목록을 잠글 때 사용할 비밀번호를 입력해주세요.|Please enter the password to use when locking the device or purchase list.
야간|Night
수직|Vertical
위로 이동|Move Up
잘못된 잠금 비밀번호입니다. 다시 입력해주세요.|Incorrect lock password. Please try again.
스크롤 방향|Scroll Direction
점프|Jump
색 온도와 숙면의 상관관계|The correlation between color temperature and deep sleep
필드 지우기|Clear field
연속|Continuous
로그인|Log In
밑줄|Underline
즐겨찾기 제거|Remove from Favorites
현재 책장에도 남겨두기|Keep in current bookshelf as well
검색 완료|Search Complete
전체 선택|Select All
텍스트 입력 모드로 전환|Switch to text input mode
확대 위치 고정|Fix Zoom Position
압축 해제에 실패했습니다(101).\n남은 용량을 확인해주세요.|Decompression failed (101).\nPlease check the remaining storage.
RIDIPAPER 배터리를 오래 사용할 수 있는 방법을 알아봅니다.|Learn how to make your RIDIPAPER battery last longer.
문단 정렬|Paragraph Alignment
책을 읽다 남긴 책갈피, 형광펜, 메모를 한 번에 모아서 확인해보세요!|Check your bookmarks, highlighters, and memos left while reading all at once!
파일이 손상되었습니다. 외장 SD 카드를 확인해주세요.|The file is corrupted. Please check the external SD card.
이용약관|Terms of Service
링크|Link
완료됨|Completed
기존 잠금 비밀번호를 입력해주세요.|Please enter your existing lock password.
탭|Tab
1. 타인에게 불쾌감을 주는 욕설\n2. 비속어나 타인을 비방하는 내용\n3. 특정 종교, 민족, 계층을 비방하는 내용\n4. 해당 도서의 줄거리나 리디북스 서비스 이용과 관련이 없는 내용\n5. 의미를 알 수 없는 내용\n6. 광고 및 반복적인 글을 게시하여 서비스 품질을 떨어트리는 내용\n7. 저작권상 문제의 소지가 있는 내용\n8. 다른 리뷰에 대한 반박이나 논쟁을 유발하는 내용\n* 결말을 예상할 수 있는 댓글은 자제하여 주시기 바랍니다.|1. Profanity that offends others\n2. Slanderous or defamatory content\n3. Content that slanders a specific religion, ethnicity, or class\n4. Content unrelated to the plot of the book or the use of RidiBooks services\n5. Content with an unknown meaning\n6. Content that degrades service quality by posting advertisements and repetitive posts\n7. Content that may have copyright issues\n8. Content that refutes or provokes debate about other reviews\n* Please refrain from comments that may spoil the ending.
텍스트 삭제|Delete text
글꼴 추가|Add Font
취소선|Strikethrough
책장 동기화|Sync Bookshelf
목차가 없는 작품입니다.|This work has no table of contents.
%1$s은(는) 범위를 벗어난 날짜입니다.|%1$s is a date out of range.
변경 사항은 반대 방향(←)으로 보는 작품에만 적용됩니다.|Changes will only be applied to works viewed in the opposite direction (←).
이름 없는 PDF|Untitled PDF
제목|Title
선택한 작품을 책장에 추가했습니다.|The selected work has been added to the bookshelf.
[파일명]|[File Name]
잠금 비밀번호를 입력해주세요.|Please enter the lock password.
글꼴|Font
페이지 %1$d|Page %1$d
파일 관리|File
동기화 진행 중입니다...|Syncing...
비밀번호를 한번 더 입력해주세요.|Please enter the password again.
뒤로가기|Back
직사각형|Rectangle
추가|Add
새로운 업데이트가 있습니다.|There is a new update.
선 끝|Line End
사용|Use
설정|Settings
독서노트|Reading Note
잠금 비밀번호 설정|Set Lock Password
수평|Horizontal
접기|Collapse
주석 레이어 합침|Merge Annotation Layers
시작|Start
공유|Share
선 스타일|Line Style
밝기 조절 제스처 사용|Use brightness control gesture
상/하단 정보 표시|Show Top/Bottom Information
단일|Single
